100 10000
1 1 100
1 1 100
1 1 100
2 2 10000
3 3 100
4 4 100
5 5 100
6 6 100
7 7 100
8 8 100
9 9 100
9 9 100
8 8 10000
7 7 100
6 6 100
5 5 100
4 4 100
3 3 10000
2 2 100
1 1 100
2 2 100
3 3 100
4 4 100
12 12 100
11 1 1100
12 1 1200
13 1 1030
14 1 1040
15 1 1050
16 1 1060
17 1 1070
18 1 1080
19 1 1090
21 1 1200
21 1 1020
1 1 100
1 1 100
1 1 100
1 1 100
21 21 100
21 21 100
31 31 100
31 31 100
31 31 100
31 31 100
31 31 100
31 31 10000
31 31 100
21 21 100
21 21 100
31 31 100
31 31 100
31 31 100
31 31 10000
1 1 100
1 1 100
1 1 100
31 31 10000
31 31 10000
21 21 100
21 21 100
21 21 100
21 21 100
1 1 100
1 1 100
21 21 100
1 10 10000
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 10 10000
1 2 10000
1 3 10000
1 4 10000
1 5 10000
1 6 10000
1 7 10000
1 8 10000
1 9 10000
1 10 10000
1 1 10000
1 1 10000
1 1 10000
1 1 10000
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
1 1 100
