100 1000
1 1 1000
2 2 100
3 3 100
4 4 1000
5 5 1000
6 6 100
7 7 1000
8 8 100
9 9 1000
10 10 100
11 11 100
12 12 1000
13 13 1000
14 14 100
15 15 100
16 16 1000
17 17 100
18 18 1000
19 19 100
20 20 1000
1 11 1000
2 12 100
3 13 100
4 14 1000
5 15 100
6 16 1000
7 17 1000
8 18 100
9 19 1000
10 20 1000
11 21 1000
12 22 100
13 23 1000
14 24 1000
15 25 100
16 26 100
17 27 100
18 28 100
19 29 1000
20 30 100
1 41 100
2 42 100
3 43 100
4 44 100
5 45 1000
6 46 100
7 47 1000
8 48 1000
9 49 1000
10 50 100
11 51 100
12 52 1000
13 53 1000
14 54 1000
15 55 100
16 56 100
17 57 100
18 58 100
19 59 1000
20 50 100
1 61 100
2 62 100
3 63 1000
4 64 100
5 65 1000
6 66 100
7 67 100
8 68 100
9 69 100
10 70 1000
11 71 1000
12 72 100
13 73 10000
14 74 100
15 75 100
16 76 100
17 77 100
18 78 1000
19 79 100
20 70 1000
1 81 100
2 82 100
3 83 100
4 84 1000
5 85 100
6 86 1000
7 87 100
8 88 100
9 89 100
10 90 100
11 91 1000
12 92 100
13 93 100
14 94 100
15 95 1000
16 96 100
17 97 1000
18 98 1000
19 99 100
20 90 1000
